num,n,m,solved,opt,upper,dels,adds,low_star,low_p3,time,branches,dist4+,n-clean,after all reds,forbs all reds,time all reds,spend all reds,lower after all reds,after force p3,forbs force p3,time force p3,spend force p3,lower after force p3,after force star,forbs force star,time force star,spend force star,lower after force star,after twin simple,forbs twin simple,time twin simple,spend twin simple,lower after twin simple,after twin complex,forbs twin complex,time twin complex,spend twin complex,lower after twin complex,after icx,forbs icx,time icx,spend icx,lower after icx,after heavy edge (b),forbs heavy edge (b),time heavy edge (b),spend heavy edge (b),lower after heavy edge (b),after heavy edge (s),forbs heavy edge (s),time heavy edge (s),spend heavy edge (s),lower after heavy edge (s),after heavy non-edge,forbs heavy non-edge,time heavy non-edge,spend heavy non-edge,lower after heavy non-edge,after forced single merge,forbs forced single merge,time forced single merge,spend forced single merge,lower after forced single merge
97,184,468,1,95,95,68,27,94,93,415,0,9837,146,0,0,15,95,95,72,2302,11,44,94,19,141,22,80,94,98,4399,4,0,95,33,418,6,66,95,146,9837,6,0,94,127,7301,2,5,95,142,9273,8,2,95,146,9872,0,0,94,56,1370,1387,54,95
98,184,699,1,226,226,199,27,225,214,744,0,10589,158,0,0,101,226,226,156,10477,48,6,225,12,54,104,219,226,129,6898,5,0,226,67,1633,11,104,224,158,10589,11,0,225,154,9991,3,1,222,156,10287,12,1,225,158,10635,3,0,225,56,1260,6706,157,226
99,184,1367,1,650,650,516,134,642,583,12618,7,11457,184,32,425,8232,616,647,184,11457,46,0,642,124,5920,1330,293,638,163,8652,11,0,642,125,4263,30,77,640,184,11457,24,0,642,184,11457,9,0,642,184,11457,18,0,642,184,11480,12,0,642,145,7236,50392,197,640
100,184,4953,1,2736,2736,2125,611,2726,2468,16673,0,2473,184,0,0,15232,2736,2736,184,2473,336,0,2726,3,0,14418,2735,2736,175,2301,21,0,2729,174,2183,30,1,2728,184,2473,48,0,2726,184,2473,24,0,2726,184,2473,31,0,2726,184,2473,23,0,2726,5,0,430137,2734,2736
101,200,6731,0,1000000000,4198,0,13169,4135,3365,3616570,0,79,200,200,79,221509,0,4135,200,79,259,0,4135,200,79,17645,0,4135,200,79,22,0,4135,200,79,29,0,4135,200,79,56,0,4135,200,79,28,0,4135,200,79,33,0,4135,200,79,27,0,4135,200,79,204469,0,4135
102,200,6746,0,1000000000,3925,0,13154,3895,3371,3606476,21,62,200,197,694,528853,69,3892,200,62,331,0,3895,200,452,105599,1,3893,200,62,21,0,3895,200,62,27,0,3895,200,62,53,0,3895,200,62,26,0,3895,200,62,32,0,3895,200,62,25,0,3895,197,62,255332,64,3892
103,200,7081,0,1000000000,4572,0,12819,4381,3539,3626622,3,23,200,200,23,272900,0,4381,200,23,241,0,4381,200,23,23160,0,4381,200,23,25,0,4381,200,23,32,0,4381,200,23,62,0,4381,200,23,32,0,4381,200,23,36,0,4381,200,23,30,0,4381,200,23,250087,0,4381
104,200,9968,1,4469,4469,2967,1502,4458,4415,555386,33,59,200,78,218,51841,3273,4431,200,59,709,0,4458,82,288,23766,3176,4429,200,59,22,0,4458,200,59,31,0,4458,200,59,55,0,4458,200,59,30,0,4458,200,59,32,0,4458,200,59,25,0,4458,0,0,1909046,4469,4469
105,200,12309,0,1000000000,5320,0,7591,5314,5304,3604806,310,0,200,82,34,44766,3103,5217,94,45,2088,2801,5279,34,13,8233,4334,5235,200,0,24,0,5314,200,0,35,0,5314,200,0,59,0,5314,200,0,34,0,5314,200,0,34,0,5314,200,0,27,0,5314,152,0,2007141,1623,5315
106,200,13248,1,4007,4007,3682,325,4007,4007,399,0,0,200,0,0,210,4007,4007,0,0,230,4007,4007,0,0,3070,4007,4007,200,0,22,0,4007,200,0,31,0,4007,200,0,50,0,4007,200,0,29,0,4007,200,0,30,0,4007,200,0,23,0,4007,0,0,577731,4007,4007
107,204,632,1,274,274,235,39,268,236,1344,0,7426,152,0,0,431,274,274,152,7426,18,0,268,73,2108,547,150,270,123,4101,5,0,271,85,1407,13,45,271,152,7426,10,0,268,147,6769,3,2,271,147,6769,14,2,271,152,7919,4,0,268,116,4412,14924,75,272
108,204,1070,1,547,547,468,79,543,470,3079,0,4751,149,0,0,1107,547,547,149,4751,43,0,543,11,44,800,537,547,137,3574,5,0,542,112,1387,14,29,543,149,4751,12,0,543,146,4322,5,1,541,149,4751,9,0,543,149,5104,7,0,543,140,4461,21629,53,543
109,204,6212,1,2436,2436,1408,1028,2434,2433,2083,0,1484,181,0,0,193,2436,2436,19,146,282,2417,2436,3,0,2288,2435,2436,170,1120,20,0,2434,159,561,42,12,2435,181,1484,47,0,2434,181,1484,24,0,2434,181,1484,28,0,2434,181,2074,24,0,2434,11,9,265347,2432,2436
110,204,9184,1,2378,2378,1433,945,2375,2375,2493,0,2485,195,0,0,192,2378,2378,24,85,216,2352,2378,0,0,2555,2378,2378,177,660,27,0,2377,172,361,46,7,2378,195,2485,57,0,2375,195,2485,30,0,2375,195,2485,35,0,2375,195,3025,28,0,2375,7,0,295297,2373,2378
111,204,12271,1,2412,2412,1381,1031,2411,2409,2887,0,2241,199,0,0,174,2412,2412,6,8,195,2408,2412,3,0,4517,2411,2412,183,645,26,0,2412,172,181,61,19,2412,199,2241,55,0,2411,199,2241,30,0,2411,199,2241,35,0,2411,199,2241,25,0,2411,3,0,324918,2411,2412
112,204,15177,1,1835,1835,677,1158,1835,1835,1821,0,215,204,0,0,149,1835,1835,0,0,170,1835,1835,0,0,6818,1835,1835,195,207,25,0,1835,0,0,200,1835,1835,204,215,52,0,1835,204,215,29,0,1835,204,215,32,0,1835,204,215,23,0,1835,0,0,226679,1835,1835
113,204,19608,1,999,999,52,947,999,999,314,0,0,204,0,0,104,999,999,0,0,117,999,999,0,0,6538,999,999,163,0,21,0,999,0,0,210,999,999,204,0,34,0,999,204,0,21,0,999,204,0,25,0,999,204,0,14,0,999,0,0,112338,999,999
114,211,1139,1,124,124,100,24,124,124,589,0,5912,122,0,0,14,124,124,9,27,8,121,124,9,27,50,121,124,71,2095,4,0,124,3,1,7,121,124,122,5912,6,0,124,108,4352,3,5,124,108,4352,17,5,124,122,5949,1,0,124,13,64,924,120,124
115,211,1705,1,306,306,206,100,306,300,936,0,9641,158,0,0,39,306,306,58,1162,37,204,305,0,0,192,306,306,114,5011,6,0,305,20,13,13,232,305,158,9641,14,0,306,153,8947,4,1,305,156,9347,10,1,305,158,9722,2,0,306,25,216,7433,253,302
116,211,2896,1,634,634,377,257,629,625,1337,0,11431,186,0,0,339,634,634,62,1131,75,508,628,57,1146,594,522,629,140,5934,17,0,629,41,409,33,519,630,186,11431,34,0,629,185,11252,13,0,629,186,11431,22,0,629,186,11440,15,0,629,49,765,33551,539,626
117,211,6633,1,2777,2777,2346,431,2776,2717,7616,0,2109,206,0,0,4936,2777,2777,206,2109,620,0,2776,9,28,4361,2743,2777,190,1738,31,0,2775,180,1291,75,10,2776,206,2109,71,0,2776,204,1824,35,1,2777,204,1824,43,1,2777,206,2110,37,0,2776,17,61,412510,2726,2777
118,211,17515,1,2943,2943,956,1987,2943,2943,470,0,20,211,0,0,198,2943,2943,0,0,222,2943,2943,0,0,7941,2943,2943,197,20,28,0,2942,188,14,131,11,2943,211,20,59,0,2943,211,20,35,0,2943,211,20,36,0,2943,211,20,26,0,2943,0,0,478632,2943,2943
119,213,1826,1,184,184,52,132,184,184,503,0,3483,105,0,0,14,184,184,3,0,9,183,184,3,0,111,183,184,70,1615,3,0,184,0,0,7,184,184,105,3483,6,0,184,94,2409,2,3,184,102,3177,4,1,184,105,3488,1,0,184,3,0,1879,183,184
120,213,3232,1,195,195,118,77,193,188,679,0,9366,162,0,0,77,195,195,54,861,42,55,194,15,88,259,185,194,67,1377,9,0,194,34,101,16,73,193,162,9366,17,0,193,155,8268,5,2,193,155,8268,19,2,193,162,9399,2,0,193,28,240,6977,160,194
121,213,6773,1,742,742,639,103,742,742,207,0,6604,213,0,0,100,742,742,0,0,124,742,742,0,0,2278,742,742,143,1054,33,0,742,0,0,119,742,742,213,6604,70,0,742,213,6604,31,0,742,213,6604,37,0,742,213,6604,31,0,742,0,0,41790,742,742
122,215,1098,1,410,410,255,155,404,402,1172,0,8519,145,0,0,501,410,410,112,5190,78,152,400,96,3861,344,226,402,124,6058,3,0,407,96,3413,10,31,408,145,8519,9,0,404,136,7321,3,4,405,143,8250,9,1,407,145,8549,2,0,404,94,3783,9706,262,402
123,215,2070,1,416,416,284,132,416,416,843,0,9850,163,0,0,25,416,416,0,0,26,416,416,0,0,164,416,416,131,6066,6,0,416,16,7,19,382,416,163,9850,17,0,416,163,9850,4,0,416,163,9850,12,0,416,163,9866,4,0,416,0,0,4996,416,416
124,215,4452,1,732,732,259,473,730,729,1197,0,16620,212,0,0,104,732,732,30,278,78,689,729,26,237,609,701,729,147,7076,16,0,730,26,182,40,692,729,212,16620,41,0,730,212,16620,9,0,730,212,16620,26,0,730,212,16627,8,0,730,31,330,35261,692,729
125,215,6896,1,1413,1413,1101,312,1413,1410,365,0,8550,215,0,0,182,1413,1413,8,15,202,1404,1412,0,0,2741,1413,1413,175,3596,33,0,1412,145,1027,66,75,1412,215,8550,63,0,1413,215,8550,31,0,1413,215,8550,50,0,1413,215,8550,29,0,1413,0,0,124237,1413,1413
126,216,1008,1,149,149,107,42,149,148,509,0,3220,100,0,0,17,149,149,28,297,9,122,148,4,2,82,146,149,73,1712,2,0,149,14,24,5,130,149,100,3220,4,0,149,96,2836,1,1,149,100,3220,3,0,149,100,3296,1,0,149,22,149,817,128,148
127,216,3070,1,130,130,27,103,130,130,907,0,9877,163,0,0,17,130,130,7,15,20,127,130,3,0,245,129,130,67,1874,11,0,130,9,22,18,126,130,163,9877,17,0,130,156,8773,6,2,130,160,9397,9,1,130,163,9893,2,0,130,7,12,3323,127,130
128,216,3466,1,108,108,36,72,108,108,475,0,9126,161,0,0,17,108,108,0,0,20,108,108,0,0,269,108,108,43,626,10,0,108,0,0,22,108,108,161,9126,16,0,108,156,8344,4,1,108,156,8344,11,1,108,161,9182,2,0,108,0,0,3690,108,108
129,216,6964,1,2211,2211,2041,170,2210,2207,1700,0,9664,216,0,0,216,2211,2211,6,11,240,2208,2211,6,11,2218,2208,2211,183,5653,34,0,2211,132,826,122,171,2208,216,9664,73,0,2210,215,9505,37,0,2210,216,9664,44,0,2210,216,9762,35,0,2210,168,7222,250266,559,2132
130,221,723,1,129,129,99,30,127,124,631,0,8077,137,4,3,59,127,129,78,2407,16,36,126,34,499,54,103,128,89,3246,5,0,127,47,733,7,56,126,137,8077,7,0,127,133,7544,2,1,126,133,7544,11,1,126,137,8175,2,0,127,36,471,2792,89,128
131,221,1091,1,386,386,332,54,381,359,1703,0,15271,193,0,0,446,386,386,193,15271,30,0,381,19,150,455,378,386,149,8428,12,0,384,82,1888,25,102,383,193,15271,22,0,381,188,14362,8,2,382,188,14362,30,2,382,193,15278,8,0,381,141,8219,30383,115,382
132,221,7291,1,4476,4476,3411,1065,4446,3640,1784646,0,879,221,0,0,1780097,4476,4476,221,879,363,0,4446,221,1942,228924,100,4444,215,845,35,0,4447,214,844,51,1,4451,221,879,86,0,4446,221,879,42,0,4446,221,879,48,0,4446,221,879,40,0,4446,133,749,3215195,3816,4474
133,221,18291,1,4836,4836,1104,3732,4836,4835,2780,0,1,221,0,0,345,4836,4836,0,0,378,4836,4836,0,0,8179,4836,4836,216,1,35,0,4836,215,1,84,2,4836,221,1,80,0,4836,221,1,48,0,4836,221,1,47,0,4836,221,1,36,0,4836,0,0,1879867,4836,4836
134,232,3633,1,772,772,366,406,772,772,567,0,5678,148,0,0,42,772,772,6,11,35,768,772,6,11,473,768,772,97,1893,6,0,771,3,0,18,764,772,148,5678,11,0,772,148,5678,4,0,772,148,5678,7,0,772,148,5682,4,0,772,6,10,18827,768,772
135,232,3633,1,772,772,357,415,772,772,546,0,5678,148,0,0,40,772,772,6,11,35,768,772,6,11,475,768,772,97,1893,7,0,771,3,0,18,764,772,148,5678,11,0,772,148,5678,3,0,772,148,5678,7,0,772,148,5682,4,0,772,6,10,18857,768,772
136,232,4981,1,81,81,61,20,81,81,104,0,3312,132,0,0,15,81,81,0,0,16,81,81,0,0,573,81,81,13,55,7,0,81,0,0,12,81,81,0,0,172,81,81,128,2800,5,1,81,132,3312,5,0,81,132,3314,2,0,81,0,0,2946,81,81
137,232,5578,1,16,16,8,8,16,16,100,0,2430,123,0,0,12,16,16,4,3,12,8,16,0,0,568,16,16,10,33,7,0,16,0,0,12,16,16,23,130,133,2,16,123,2430,2,0,16,123,2430,4,0,16,123,2430,1,0,16,0,0,2200,16,16
138,232,16859,1,5289,5289,3123,2166,5281,5275,2146,0,0,232,0,0,1011,5289,5289,57,47,981,5163,5288,3,0,13628,5288,5289,186,0,35,0,5284,168,0,141,22,5285,232,0,68,0,5281,232,0,37,0,5281,232,0,42,0,5281,232,0,30,0,5281,24,0,2673060,5240,5289
139,232,17300,1,5514,5514,3545,1969,5508,5501,1949,0,0,232,0,0,1643,5514,5514,68,74,1392,5127,5504,3,1,16151,5510,5514,188,0,37,0,5508,169,0,144,24,5507,232,0,68,0,5508,232,0,37,0,5508,232,0,43,0,5508,232,0,31,0,5508,24,0,3017341,5437,5513
140,250,1045,1,451,451,353,98,446,426,1631,0,25081,234,0,0,1311,451,451,234,25081,24,0,446,202,18687,424,94,444,216,21374,5,0,446,193,16947,13,55,447,234,25081,24,0,446,233,24855,2,0,447,234,25081,19,0,446,234,25159,2,0,446,202,18696,11576,107,444
141,250,1450,1,697,697,514,183,687,617,9407,7,23464,235,42,717,10902,637,694,235,23464,72,0,687,208,18560,2873,86,688,218,19996,8,0,690,145,7596,35,158,688,235,23464,29,0,687,229,22088,7,3,687,229,22088,60,3,687,235,23559,7,0,687,200,17146,67010,159,689
142,250,2451,1,562,562,257,305,560,561,1070,0,25661,248,0,0,58,562,562,20,155,66,552,562,6,8,292,557,562,206,17011,19,0,560,122,4615,41,203,562,248,25661,38,0,560,246,25180,12,1,562,246,25180,35,1,562,248,25662,14,0,560,6,5,25436,557,562
143,250,3813,1,1475,1475,928,547,1468,1443,4211,0,22683,247,0,0,2644,1475,1475,247,22716,476,1,1469,75,1983,2335,1236,1466,224,18017,25,0,1466,140,4491,69,245,1467,247,22683,54,0,1468,247,22683,22,0,1468,247,22683,43,0,1468,247,22683,22,0,1468,83,2465,151588,1267,1469
144,250,4507,1,1500,1500,1249,251,1499,1497,621,0,18503,250,0,0,154,1500,1500,3,0,173,1499,1500,3,0,1018,1499,1500,202,9043,31,0,1500,150,2075,60,151,1500,250,18503,56,0,1499,250,18503,23,0,1499,250,18503,47,0,1499,250,18503,24,0,1499,3,0,71175,1499,1500
145,250,6574,1,1761,1761,960,801,1761,1759,570,0,15735,250,0,0,163,1761,1761,0,0,187,1761,1761,0,0,2545,1761,1761,235,13450,26,0,1761,41,166,164,1350,1758,250,15735,59,0,1761,250,15735,25,0,1761,250,15735,48,0,1761,250,15735,26,0,1761,0,0,152564,1761,1761
146,250,11225,1,4791,4791,3499,1292,4766,4691,284328,148,2336,250,56,236,81288,4039,4764,250,2336,1199,0,4766,67,361,60331,3869,4766,239,1703,39,0,4770,223,474,126,122,4770,250,2336,89,0,4766,250,2336,44,0,4766,250,2336,59,0,4766,250,2336,43,0,4766,149,1069,3629699,2850,4776
147,250,11421,1,3975,3975,3031,944,3972,3966,1111,0,3653,250,0,0,701,3975,3975,7,9,730,3967,3975,3,1,7248,3973,3975,245,3447,34,0,3971,237,2897,138,13,3974,250,3653,78,0,3972,250,3653,38,0,3972,250,3653,55,0,3972,250,3653,38,0,3972,6,2,1411109,3967,3975
148,250,20035,1,6921,6921,6028,893,6920,6918,1278,0,0,250,0,0,946,6921,6921,3,1,978,6901,6921,3,1,12784,6901,6921,246,0,37,0,6921,243,0,87,4,6920,250,0,87,0,6920,250,0,48,0,6920,250,0,54,0,6920,250,0,39,0,6920,185,0,3611274,1858,6909
149,250,22395,1,5807,5807,1853,3954,5807,5807,711,0,3,250,0,0,394,5807,5807,0,0,430,5807,5807,0,0,19178,5807,5807,242,3,40,0,5807,239,3,122,3,5806,250,3,91,0,5807,250,3,53,0,5807,250,3,57,0,5807,250,3,41,0,5807,0,0,2961765,5807,5807
150,250,27898,1,3227,3227,0,3227,3227,3227,514,0,0,250,0,0,243,3227,3227,0,0,268,3227,3227,0,0,10398,3227,3227,181,0,41,0,3227,0,0,318,3227,3227,250,0,68,0,3227,250,0,38,0,3227,250,0,45,0,3227,250,0,27,0,3227,0,0,753172,3227,3227
151,250,29867,1,1258,1258,0,1258,1258,1258,435,0,0,250,0,0,173,1258,1258,0,0,194,1258,1258,0,0,11906,1258,1258,137,0,45,0,1258,0,0,628,1258,1258,250,0,61,0,1258,250,0,33,0,1258,250,0,41,0,1258,250,0,22,0,1258,0,0,242909,1258,1258
152,250,30942,1,183,183,0,183,183,183,360,0,0,250,0,0,112,183,183,0,0,130,183,183,0,0,10959,183,183,31,0,52,0,183,0,0,985,183,183,0,0,2012,183,183,250,0,28,0,183,250,0,38,0,183,250,0,18,0,183,0,0,71020,183,183
153,250,31119,1,6,6,0,6,6,6,343,0,0,250,0,0,97,6,6,0,0,119,6,6,0,0,10950,6,6,5,0,60,0,6,0,0,310,6,6,0,0,2057,6,6,250,0,32,0,6,250,0,37,0,6,250,0,21,0,6,0,0,62532,6,6
154,263,1039,1,117,117,58,59,116,116,163,0,3022,91,0,0,8,117,117,0,0,5,117,117,0,0,37,117,117,48,866,2,0,117,3,0,3,115,117,91,3022,3,0,116,76,1816,2,4,116,91,3022,2,0,116,91,3038,0,0,116,0,0,800,117,117
155,263,1295,1,63,63,39,24,63,63,652,0,7514,134,0,0,18,63,63,16,107,9,54,63,12,56,52,56,63,57,1442,5,0,63,0,0,8,63,63,134,7514,7,0,63,117,5418,3,6,63,126,6491,11,3,63,134,7600,1,0,63,16,104,616,54,63
156,263,1668,1,188,188,153,35,188,187,801,0,13401,181,0,0,29,188,188,10,36,23,184,188,6,9,132,186,188,95,3478,11,0,188,13,47,17,154,188,181,13401,18,0,188,169,11351,5,4,188,175,12342,23,2,188,181,13461,3,0,188,22,202,3631,152,188
157,263,3422,1,1117,1117,881,236,1114,1100,3246,0,16363,227,0,0,1618,1117,1117,140,6320,2155,478,1115,3,0,1170,1116,1117,175,7628,20,0,1117,118,1510,69,145,1115,227,16363,47,0,1114,227,16363,13,0,1114,227,16363,37,0,1114,227,16398,17,0,1114,3,0,85649,1116,1117
158,263,10332,1,3039,3039,1701,1338,3039,3036,2882,0,14283,258,0,0,455,3039,3039,27,145,482,3002,3039,6,10,4914,3036,3039,201,3985,48,0,3039,178,807,120,75,3039,258,14283,112,0,3039,258,14283,45,0,3039,258,14283,60,0,3039,258,14521,43,0,3039,8,4,788144,3035,3039
159,263,20837,1,1483,1483,239,1244,1483,1483,824,0,9438,263,0,0,233,1483,1483,0,0,279,1483,1483,0,0,9123,1483,1483,191,3062,62,0,1482,0,0,286,1483,1483,263,9438,110,0,1483,263,9438,56,0,1483,263,9438,71,0,1483,263,9647,49,0,1483,0,0,241008,1483,1483
160,279,1226,1,274,274,154,120,273,271,815,0,16783,193,0,0,31,274,274,79,2877,29,226,273,31,422,86,253,273,126,7005,9,0,273,20,135,16,254,274,193,16783,17,0,273,187,15664,3,2,273,190,16213,19,1,272,193,16795,2,0,273,61,1667,4262,225,273
161,279,2000,1,333,333,157,176,328,328,1030,0,18880,211,0,0,73,333,333,89,3425,47,227,327,83,2970,237,233,327,149,9407,11,0,330,31,345,23,271,330,211,18880,26,0,328,205,17641,4,2,328,205,17641,32,2,328,211,18923,4,0,328,87,3216,9880,221,326
162,279,3242,1,780,780,574,206,779,777,1862,0,24265,248,0,0,206,780,780,60,1460,125,618,774,7,14,442,760,779,188,13364,19,0,778,97,2461,60,233,771,248,24265,50,0,779,248,24265,10,0,779,248,24265,30,0,779,248,24336,11,0,779,121,5964,44182,527,771
163,279,5825,1,1538,1538,1134,404,1537,1536,1740,0,20897,261,0,0,155,1538,1538,9,27,178,1532,1537,7,13,1303,1533,1537,186,7889,40,0,1537,154,4055,74,108,1537,261,20897,89,0,1537,259,20438,35,0,1537,261,20897,67,0,1537,261,20904,35,0,1537,9,22,126230,1532,1537
164,279,11618,1,4033,4033,2844,1189,4016,3999,13143,10,10403,276,23,30,6243,3701,3970,99,1748,2258,3146,4000,78,1483,16930,3466,3954,252,7538,72,0,4016,205,1360,174,237,4014,276,10403,153,0,4016,272,9315,97,1,4014,276,10403,93,0,4016,276,10405,79,0,4016,131,4214,1879615,3163,3989
165,279,24777,1,6094,6094,3753,2341,6094,6094,1456,0,876,279,0,0,481,6094,6094,0,0,552,6094,6094,0,0,13478,6094,6094,266,787,78,0,6094,262,776,181,5,6094,279,876,173,0,6094,279,876,98,0,6094,279,876,101,0,6094,279,1045,88,0,6094,0,0,1923354,6094,6094
166,279,31636,1,4221,4221,1667,2554,4221,4221,1181,0,40,279,0,0,417,4221,4221,0,0,471,4221,4221,0,0,18328,4221,4221,266,40,59,0,4221,263,39,169,5,4221,279,40,130,0,4221,279,40,77,0,4221,279,40,81,0,4221,279,40,57,0,4221,0,0,957922,4221,4221
167,300,14191,0,1000000000,9861,0,30659,9458,7095,3737654,0,84,300,300,84,1094294,0,9458,300,84,678,0,9458,300,84,91097,0,9458,300,84,78,0,9458,300,84,98,0,9458,300,84,197,0,9458,300,84,97,0,9458,300,84,112,0,9458,300,84,94,0,9458,300,84,1005670,0,9458
168,300,15035,1,7674,7674,6127,1547,7661,7378,49974,0,646,300,0,0,49759,7674,7674,300,646,2290,0,7661,9,26,43569,7625,7673,300,646,65,0,7661,300,646,84,0,7661,300,646,164,0,7661,300,646,81,0,7661,300,646,102,0,7661,300,646,80,0,7661,296,646,922269,228,7664
169,300,15456,0,1000000000,9561,0,29394,9380,7726,3731981,0,366,300,300,366,893074,0,9380,300,366,710,0,9380,300,366,71224,0,9380,300,366,72,0,9380,300,366,92,0,9380,300,366,182,0,9380,300,366,90,0,9380,300,366,109,0,9380,300,366,87,0,9380,300,366,818325,0,9380
170,300,15641,1,6866,6866,6330,536,6866,6852,4494,0,151,300,0,0,4197,6866,6866,72,702,3631,5411,6843,3,1,14422,6836,6866,300,151,62,0,6866,300,151,80,0,6866,300,151,158,0,6866,300,151,77,0,6866,300,151,96,0,6866,300,151,77,0,6866,221,143,1771495,3024,6866
171,300,25919,1,2901,2901,2657,244,2901,2901,723,0,5,300,0,0,449,2901,2901,0,0,493,2901,2901,0,0,18408,2901,2901,293,4,49,0,2901,0,0,764,2901,2901,300,5,113,0,2901,300,5,59,0,2901,300,5,77,0,2901,300,5,53,0,2901,0,0,447424,2901,2901
172,300,28765,1,6978,6978,3084,3894,6978,6978,938,0,11,300,0,0,597,6978,6978,0,0,661,6978,6978,0,0,16105,6978,6978,300,11,68,0,6978,300,11,98,0,6978,300,11,161,0,6978,300,11,91,0,6978,300,11,98,0,6978,300,11,73,0,6978,0,0,2256542,6978,6978
173,313,1764,1,100,100,19,81,100,99,767,0,10740,158,0,0,23,100,100,9,22,13,94,100,7,14,90,95,100,70,2219,8,0,100,4,0,13,96,100,158,10740,12,0,100,148,9235,2,2,100,148,9235,17,2,100,158,10755,1,0,100,7,12,1161,95,100
174,313,2294,1,154,154,123,31,154,154,765,0,10697,162,0,0,22,154,154,9,28,19,150,154,9,28,118,150,154,70,1907,9,0,154,23,41,12,65,154,162,10697,15,0,154,143,7908,3,2,154,159,10220,15,1,154,162,10700,2,0,154,11,39,3101,150,153
175,313,3516,1,557,557,448,109,557,555,1735,0,14905,196,0,0,78,557,557,26,280,54,528,557,6,10,181,552,557,150,8371,10,0,557,27,207,24,493,557,196,14905,24,0,557,191,13968,6,1,557,192,14136,22,1,557,196,14982,5,0,557,11,43,12705,549,557
176,313,7570,1,908,908,316,592,908,908,1027,0,33808,295,0,0,109,908,908,0,0,120,908,908,0,0,1068,908,908,205,15424,34,0,908,0,0,68,908,908,295,33808,99,0,908,295,33808,15,0,908,295,33808,48,0,908,295,33808,12,0,908,0,0,63488,908,908
177,313,14634,1,4089,4089,3675,414,4079,4069,2473,0,6465,313,0,0,3887,4089,4089,76,762,1607,3283,4026,45,88,20111,3701,3999,281,3252,107,0,4078,203,317,299,653,4080,313,6465,228,0,4079,313,6465,110,0,4079,313,6465,145,0,4079,313,6465,108,0,4079,87,786,2343827,3534,4023
178,330,573,1,200,200,144,56,191,191,852,0,34251,266,0,0,116,200,200,261,33109,30,11,189,254,31448,198,35,187,243,28596,7,0,192,54,1307,34,148,193,266,34251,28,0,191,166,12902,34,37,189,194,17840,407,26,190,266,34295,2,0,191,255,31665,923,30,189
179,330,1370,0,1000000000,633,0,52915,620,591,3600035,4243,45912,315,209,19776,17875,199,617,315,45912,92,0,620,297,41220,1577,92,613,307,43671,25,0,620,241,26467,79,73,619,315,45912,70,0,620,303,42244,29,6,621,303,42244,181,6,621,315,45927,24,0,620,295,40666,16828,115,618
180,330,2256,0,1000000000,1081,0,52029,1052,986,3600195,1181,48344,330,284,36047,31519,231,1056,330,48344,161,0,1052,330,48436,5043,0,1054,320,45489,37,0,1048,284,36039,71,231,1056,330,48344,90,0,1052,330,48344,33,0,1052,330,48344,86,0,1052,330,48348,37,0,1052,300,40285,71349,216,1055
181,330,3253,0,1000000000,1563,0,51032,1513,1409,3601434,337,45248,330,277,32108,54787,310,1520,330,45248,284,0,1513,330,45248,2230,0,1513,319,42436,40,0,1518,280,32817,92,304,1521,330,45248,95,0,1513,330,45248,36,0,1513,330,45248,90,0,1513,330,45248,39,0,1513,330,45248,25049,0,1513
182,330,4329,0,1000000000,2159,0,49956,2091,1926,3601778,158,41785,330,281,30541,138297,383,2088,330,41785,242,0,2091,330,41785,5091,0,2091,321,39623,41,0,2086,296,33910,111,135,2085,330,41785,100,0,2091,330,41785,38,0,2091,330,41785,94,0,2091,330,41785,41,0,2091,330,41785,42978,0,2091
183,330,5613,0,1000000000,2789,0,48672,2717,2547,3600812,64,37893,330,288,29062,234227,255,2715,330,37893,635,0,2717,330,37893,6897,0,2717,322,36165,43,0,2717,289,29226,156,142,2717,330,37893,105,0,2717,330,37893,40,0,2717,330,37893,96,0,2717,330,37893,44,0,2717,330,37893,73174,0,2717
184,330,7270,0,1000000000,3684,0,47015,3582,3374,3604474,23,31903,330,303,26959,446218,274,3581,330,31903,959,0,3582,330,31903,11887,0,3582,323,30622,45,0,3580,307,27619,167,28,3583,330,31903,113,0,3582,330,31903,45,0,3582,330,31903,102,0,3582,330,31903,50,0,3582,330,31903,124304,0,3582
185,347,1456,1,203,203,130,73,203,200,922,0,13970,179,0,0,37,203,203,64,1858,22,161,203,9,28,73,199,203,117,5742,8,0,203,8,6,14,185,203,179,13970,14,0,203,165,11599,5,6,203,173,12923,16,2,203,179,14007,2,0,203,22,204,3406,180,203
186,347,1942,1,473,473,400,73,470,464,1264,0,22127,228,0,0,165,473,473,156,10731,156,303,471,61,1712,193,416,471,166,11109,19,0,470,74,1574,35,185,464,228,22127,36,0,470,222,20786,12,2,471,222,20786,59,2,471,228,22245,12,0,470,90,3544,22436,371,471
187,347,7500,1,3814,3814,2976,838,3811,3526,13521,0,17374,303,0,0,12255,3814,3814,303,17374,961,0,3811,6,10,11600,3806,3814,282,13904,60,0,3812,250,8003,242,46,3812,303,17374,147,0,3811,303,17374,61,0,3811,303,17374,110,0,3811,303,17641,76,0,3811,72,1559,1461659,3719,3814
188,347,17983,1,7882,7882,5270,2612,7876,7862,13354,0,12058,337,0,0,7372,7882,7882,127,2030,6893,7372,7878,21,169,30279,7847,7881,310,6093,131,0,7875,286,3249,273,64,7876,337,12058,297,0,7876,337,12058,146,0,7876,337,12058,189,0,7876,337,12069,150,0,7876,279,10282,3602284,2225,7873
