Graph,Algorithm,n,m,k,l,Permutation,Solved,MT,All Solutions,Time [s],Total Time [s],Time Initialization [s],Threads,Calls,Extra_lbs,Fallbacks,Prunes,Single,Skipped,Stolen,Solutions,Scaling Factor Time,Scaling Factor Calls,Speedup,Efficiency
heur179.gr,FPT-LS-MP,36693,183831,87572,3,0,False,False,False,47.4749,188.629,26.8585,1,13,4,6,3,0,0,0,0,1.33633,1.18182,1,1
heur179.gr,FPT-LS-MP,36693,183831,87571,3,0,False,False,False,37.0142,141.155,26.8585,1,11,3,5,3,0,0,0,0,1.35543,1.57143,1,1
heur179.gr,FPT-LS-MP,36693,183831,87570,3,0,False,False,False,23.1243,104.14,26.8585,1,7,2,3,2,0,0,0,0,1.28543,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87569,3,0,False,False,False,18.634,81.016,26.8585,1,7,2,3,2,0,0,0,0,1.29871,1.4,1,1
heur179.gr,FPT-LS-MP,36693,183831,87568,3,0,False,False,False,10.2044,62.382,26.8585,1,5,2,2,1,0,0,0,0,1.19557,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87567,3,0,False,False,False,9.60931,52.1776,26.8585,1,5,2,2,1,0,0,0,0,1.22574,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87566,3,0,False,False,False,8.27906,42.5683,26.8585,1,5,2,2,1,0,0,0,0,1.24145,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87565,3,0,False,False,False,7.43069,34.2892,26.8585,1,5,2,2,1,0,0,0,0,nan,nan,1,1
heur177.gr,FPT-LS-MP,22688,54705,27367,3,0,False,False,False,80.5209,1077.14,3.44161,1,97,48,48,1,0,0,0,0,1.08079,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27365,3,0,False,False,False,77.2924,917.291,3.44161,1,95,47,47,1,0,0,0,0,1.09202,1.04396,1,1
heur177.gr,FPT-LS-MP,22688,54705,27364,3,0,False,False,False,73.4702,839.998,3.44161,1,91,45,45,1,0,0,0,0,1.09585,1.07059,1,1
heur177.gr,FPT-LS-MP,22688,54705,27363,3,0,False,False,False,68.5676,766.528,3.44161,1,85,42,42,1,0,0,0,0,1.09824,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27362,3,0,False,False,False,67.782,697.96,3.44161,1,85,42,42,1,0,0,0,0,1.10756,1.13333,1,1
heur177.gr,FPT-LS-MP,22688,54705,27360,3,0,False,False,False,60.0526,569.669,3.44161,1,75,37,37,1,0,0,0,0,1.11784,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27359,3,0,False,False,False,59.2639,509.617,3.44161,1,75,37,37,1,0,0,0,0,1.13159,1.19048,1,1
heur177.gr,FPT-LS-MP,22688,54705,27358,3,0,False,False,False,50.4446,450.353,3.44161,1,63,31,31,1,0,0,0,0,1.12614,1.0678,1,1
heur177.gr,FPT-LS-MP,22688,54705,27357,3,0,False,False,False,47.4761,399.908,3.44161,1,59,29,29,1,0,0,0,0,1.13471,1.07273,1,1
